"exp","k0","k6"
3.21168024360418,2.9580884192028,3.17720795653142
3.21074627661648,2.95510786452355,3.17550195436527
3.20981431385132,2.9547572281651,3.1735993917778
3.2088843467253,2.95460122183335,3.17056092462425
3.20795636671004,2.95427264673254,3.16915591226531
3.20703036533171,2.95372242803334,3.16877852027837
3.20610633417057,2.95198938681847,3.16788760511226
3.20518426486049,2.95077861024969,3.16753902555246
3.20426414908856,2.95046574863655,3.16749410270738
3.20334597859455,2.95046562520065,3.1649504870026
3.20242974517053,2.94795589634175,3.16424946712749
3.20151544066041,2.94672133000875,3.16387016217684
3.2006030569595,2.94614988378667,3.16379445579985
3.19969258601408,2.9456424032688,3.16348444739624
3.19878401982098,2.9454894991319,3.16301909079106
3.19787735042716,2.94449294994186,3.16206945905781
3.19697256992928,2.94268971608606,3.15668802877631
3.19606967047329,2.94227835922531,3.15581315105232
3.19516864425403,2.94140977747072,3.15570842027286
3.19426948351482,2.94050902280311,3.15536838025371
3.19337218054706,2.93929120317548,3.15368370585026
3.19247672768982,2.93874661828285,3.15364784439793
3.19158311732947,2.93861465806741,3.15321120440265
3.19069134189929,2.93836287729967,3.15199252005316
3.18980139387905,2.93808291564055,3.15060964302809
3.18891326579468,2.93792250104419,3.1492100389523
3.18802695021787,2.93786799784108,3.14885121574708
3.18714243976569,2.93331119138083,3.14835246481844
3.18625972710021,2.93324819379868,3.14831490437857
3.18537880492819,2.92846818940943,3.14765872456545
3.18449966600064,2.9281512474805,3.14546177257632
3.18362230311255,2.92812284199201,3.1446896063046
3.18274670910244,2.92674204362702,3.14313067538735
3.1818728768521,2.92666433869211,3.14266632283649
3.18100079928617,2.926587778043,3.13992686738347
3.18013046937184,2.9245662448141,3.1379464656943
3.1792618801185,2.92350299173557,3.13756240193268
3.1783950245774,2.92293809834875,3.13737286490757
3.17752989584131,2.92250011894458,3.13726199662879
3.1766664870442,2.92135885786069,3.13724076745054
3.17580479136091,2.92097683841883,3.13636325165615
3.17494480200682,2.92092810984734,3.1360073739336
3.17408651223754,2.92041317491052,3.1359954257516
3.17322991534859,2.9204082915391,3.1356805300179
3.17237500467508,2.91861207338664,3.13293779350208
3.1715217735914,2.91764843792417,3.13215091719335
3.17067021551091,2.91700811267664,3.13197792747968
3.16982032388566,2.91599611003083,3.13164722105377
3.16897209220605,2.91485065283882,3.13045805992107
3.16812551400054,2.91403356028469,3.13029722301842
3.16728058283539,2.91336342992717,3.12997185637641
3.16643729231431,2.91332426117995,3.12985863024161
3.1655956360782,2.91312426830203,3.12962926793649
3.16475560780489,2.91252504167689,3.12941443018443
3.16391720120878,2.9118618870224,3.1281574521328
3.16308041004064,2.90955089719355,3.12792443118771
3.16224522808729,2.90568565268015,3.12725024814996
3.16141164917129,2.90479149670815,3.12676223643134
3.16057966715075,2.90269705474488,3.12666388393637
3.15974927591898,2.90138446789028,3.12604429696789
3.15892046940426,2.90096434473987,3.12471618095876
3.15809324156958,2.90045318306548,3.12425464250054
3.15726758641234,2.89597519706373,3.12415953128345
3.15644349796411,2.893364413644,3.12390205324205
3.1556209702904,2.89239428322273,3.12316036138824
3.15479999749034,2.89155810977148,3.12295229626406
3.15398057369648,2.89085458080397,3.12272505840102
3.15316269307452,2.89055531937119,3.12269528316845
3.15234634982307,2.89049345309263,3.12253816483803
3.15153153817335,2.89002917858624,3.11889505751983
3.15071825238904,2.88864253135709,3.11735832976024
3.14990648676597,2.88858895368696,3.11721888939956
3.14909623563187,2.88779480289066,3.1136991378679
3.1482874933462,2.88756419489086,3.11218528692614
3.14748025429984,2.88680289572285,3.11121123006137
3.14667451291491,2.88655640741986,3.11033788427558
3.14587026364451,2.88481917097959,3.11004367464886
3.1450675009725,2.8847688018752,3.10883088647716
3.14426621941327,2.88230346418357,3.10817037631064
3.14346641351153,2.88134907763469,3.10771347531848
3.14266807784205,2.88096007727921,3.10664264535615
3.14187120700948,2.88054676175784,3.10580859140481
3.14107579564812,2.87979411053071,3.10565386789735
3.14028183842168,2.87931541316096,3.10423843185617
3.13948933002311,2.87886308669433,3.1041493152662
3.13869826517433,2.87879455770721,3.10295195935143
3.13790863862607,2.87877451918703,3.10147657591209
3.13712044515763,2.87754333985135,3.10140984353311
3.13633367957669,2.87749602643947,3.10111581011263
3.1355483367191,2.87726838424746,3.10026488982215
3.13476441144866,2.87722821198047,3.09986013234311
3.13398189865695,2.87653064342457,3.09932160958994
3.13320079326311,2.87388496902895,3.09848390422279
3.13242109021364,2.87329708377309,3.09761842801306
3.13164278448221,2.87304599091992,3.09556520885797
3.13086587106947,2.87270809608508,3.09555457056262
3.13009034500285,2.87222770432861,3.09459956585181
3.12931620133636,2.86929904188421,3.09454424259411
3.12854343515044,2.86913184959907,3.09326005743582
3.12777204155172,2.86887686706395,3.09307042905539
3.12700201567285,2.86848517442467,3.09245324974757
3.12623335267237,2.8677707659749,3.09226147663937
3.12546604773442,2.86739299048294,3.09192142996366
3.12470009606868,2.86581968118104,3.0909901253648
